









Frequency of observations in the selected location(s).:
Number of taxa: 	477

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Graylag x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0024722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011312	0.0	0.0	0.0028818	0.0010428	0.0	0.0	0.0019861	0.0	0.0	0.0	0.0	8.084E-4	0.0	0.0	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.084E-4	0.0	0.0	0.0	0.0	
Black-necked Swan	0.1336254	0.1613757	0.1770186	0.2037618	0.1933962	0.1340361	0.1322621	0.1510673	0.1076389	0.1174168	0.1504587	0.1520861	0.1724806	0.132321	0.1099585	0.1277311	0.1375246	0.0872727	0.100823	0.1383738	0.1497227	0.1916667	0.1538462	0.1760905	0.1918819	0.1709091	0.1352313	0.1526055	0.1840391	0.1169687	0.1551095	0.1674208	0.1791045	0.1826793	0.1642651	0.1720542	0.1764706	0.1668274	0.1936445	0.1713147	0.1976856	0.1769723	0.1767896	0.1471302	0.1386604	0.1470588	0.135101	0.0944123	
swan sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010846	0.0	0.0	0.0	0.0	0.0	
Coscoroba Swan	0.2168675	0.2275132	0.2453416	0.2518286	0.2374214	0.2003012	0.1854141	0.2101806	0.1909722	0.1898239	0.1908257	0.1870794	0.2131783	0.1930586	0.1369295	0.1462185	0.1709234	0.1769697	0.1666667	0.189729	0.1996303	0.1791667	0.2058212	0.2536349	0.2915129	0.2745455	0.2206406	0.2841191	0.2654723	0.2075783	0.310219	0.1945701	0.2338308	0.1989175	0.1916427	0.1866528	0.2230392	0.2131148	0.245283	0.2175299	0.2777242	0.2665245	0.2407809	0.2134196	0.2150411	0.2365196	0.1944444	0.177264	
Comb Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck	0.0635268	0.0502646	0.0621118	0.0668757	0.081761	0.0436747	0.0420272	0.0558292	0.0572917	0.0782779	0.0550459	0.0471063	0.0775194	0.0477223	0.0829876	0.0756303	0.0569745	0.0545455	0.063786	0.0841655	0.0702403	0.0520833	0.0873181	0.0710824	0.0848708	0.0727273	0.0729537	0.0657568	0.0504886	0.0873147	0.0529197	0.0622172	0.0630182	0.0554804	0.0504323	0.0448384	0.0526961	0.0626808	0.041708	0.0398406	0.0491803	0.0394456	0.0498915	0.0598222	0.0634548	0.0637255	0.0454545	0.0712909	
Ringed Teal	0.0722892	0.0701058	0.0854037	0.0909091	0.0660377	0.0798193	0.0618047	0.0771757	0.0555556	0.0782779	0.1119266	0.0820996	0.0852713	0.0867679	0.0684647	0.0705882	0.0687623	0.0581818	0.1028807	0.0970043	0.0868762	0.0916667	0.0810811	0.1001616	0.097786	0.1	0.0498221	0.0843672	0.1058632	0.0741351	0.1186131	0.081448	0.106136	0.0879567	0.092219	0.1251303	0.122549	0.1301832	0.122145	0.0908367	0.1118611	0.0906183	0.1106291	0.1042846	0.0810811	0.0870098	0.0959596	0.0578035	
Mandarin Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032841	0.0052083	0.0039139	0.0018349	0.0026918	0.0077519	0.0021692	0.0145228	0.0084034	0.0039293	0.0060606	0.0102881	0.0128388	0.0092421	0.0083333	0.008316	0.0080775	0.0073801	0.0109091	0.0035587	0.0037221	0.0032573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
