









Frequency of observations in the selected location(s).:
Number of taxa: 	645

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Chilean Skua	0.0011095	4.843E-4	5.266E-4	3.39E-4	0.0015	4.433E-4	8.143E-4	0.0023378	0.0	6.662E-4	0.0014316	8.83E-4	0.0030175	0.0013879	0.0026525	0.0010846	0.0015	0.002019	6.766E-4	0.0030441	0.0015	0.0028289	5.447E-4	0.0028868	0.0015	5.488E-4	0.0016146	0.0038396	0.0028719	6.12E-4	0.0011255	0.0013146	5.559E-4	5.025E-4	0.0015	0.0011806	4.782E-4	2.873E-4	0.0	0.0015713	3.846E-4	4.221E-4	0.0	0.001469	9.602E-4	9.47E-4	0.0	9.476E-4	
Brown Skua	0.004068	0.0	5.266E-4	0.0015	0.0025368	4.433E-4	8.143E-4	5.845E-4	0.0019634	0.0019987	7.158E-4	0.001766	6.035E-4	0.0	0.0	0.0	5.0E-4	5.769E-4	0.0	0.0010147	0.0047814	0.0	0.0	0.0017321	7.022E-4	5.488E-4	0.0016146	8.532E-4	0.0028719	0.0015	0.0	4.382E-4	0.0	0.0	0.0015	0.0	0.0	2.873E-4	0.0090318	0.0053426	0.0	0.0016885	9.268E-4	3.672E-4	0.0	0.0018939	0.0	0.0015793	
South Polar Skua	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.285E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
jaeger sp.	7.396E-4	4.843E-4	0.0010532	6.78E-4	5.074E-4	8.865E-4	0.0	5.845E-4	0.0	0.0013324	0.0	4.415E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.873E-4	0.0014451	0.0028284	7.692E-4	0.0	0.0	0.0	4.801E-4	4.735E-4	0.0021598	0.0	
skua sp.	0.0011095	0.0	0.0	3.39E-4	0.0015221	0.0	0.0	0.0015	0.0019634	6.662E-4	7.158E-4	4.415E-4	0.0015	0.0	0.0	0.0	0.0	2.884E-4	6.766E-4	5.074E-4	0.0	7.072E-4	5.447E-4	0.0	0.0	0.0	5.382E-4	0.0	0.0	0.0	0.0011255	0.0	0.0015	5.025E-4	0.0	0.0	0.0	0.0	0.0	0.0015713	0.0	0.0	0.0	0.0	0.0	4.735E-4	0.0	0.0	
jaeger/skua sp.	0.0	0.0	0.0	0.0	0.0	0.0	4.072E-4	0.0	0.0	6.662E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.846E-4	0.0	0.0	0.0	0.0	0.0	5.4E-4	9.476E-4	
Sabine's Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.035E-4	0.0	0.0	0.0016269	0.001	8.653E-4	0.0013532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brown-hooded Gull	0.2215237	0.1883777	0.1858873	0.1969492	0.1816337	0.1431738	0.1241857	0.1683226	0.164267	0.1312458	0.110952	0.1280353	0.1357876	0.1325468	0.1279841	0.137744	0.1635	0.1471012	0.1529093	0.1725013	0.2226776	0.2072136	0.245098	0.2511547	0.2373596	0.2947311	0.3315393	0.3238055	0.2739805	0.2343941	0.2718064	0.2112182	0.2718177	0.241206	0.2336593	0.2042503	0.203252	0.2160299	0.1961705	0.2049026	0.1907692	0.1886872	0.2182576	0.2152038	0.1944311	0.204072	0.200324	0.2182565	
Gray-hooded Gull	0.0636095	0.0532688	0.0573986	0.060339	0.0471842	0.0345745	0.0309446	0.0356517	0.0379581	0.0319787	0.035791	0.0406181	0.041038	0.0270645	0.0318302	0.0493492	0.0435	0.0504759	0.0480379	0.0553019	0.0642077	0.0480905	0.0746187	0.0536952	0.0533708	0.0680571	0.0635091	0.0575939	0.0310167	0.0257038	0.035453	0.0254163	0.0250139	0.0286432	0.0344828	0.0295159	0.0363462	0.0361965	0.0390173	0.0449403	0.03	0.0396792	0.0514365	0.0543518	0.0547288	0.0520833	0.0426566	0.0593809	
Brown-hooded/Gray-hooded Gull	3.698E-4	0.001937	5.266E-4	0.0013559	0.0035515	0.0022163	0.0012215	0.0017534	0.0	0.0	0.0014316	8.83E-4	0.003621	6.94E-4	0.0019894	0.0016269	5.0E-4	0.0014422	0.0027064	0.0035515	0.0047814	7.072E-4	0.0038126	0.0017321	0.0035112	0.0021954	0.0026911	0.0015	0.0011488	6.12E-4	0.0	0.0017528	0.0	5.025E-4	5.147E-4	7.871E-4	4.782E-4	0.0014364	0.0	9.428E-4	3.846E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Gray Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.662E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dolphin Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010893	0.0023095	0.002809	0.0016465	0.0	4.266E-4	0.0011488	0.001224	0.0011255	0.0015	0.0	5.025E-4	0.0	3.935E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Franklin's Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.845E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035515	0.0020492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.221E-4	0.0	0.0	0.0	0.0	0.0015	0.0	
Olrog's Gull	0.0210799	0.0125908	0.0179042	0.0216949	0.0152207	0.0177305	0.0142508	0.0187025	0.0170157	0.0186542	0.0136006	0.0145695	0.0211225	0.018043	0.0258621	0.0287419	0.0195	0.0282665	0.026387	0.0532725	0.0607923	0.0544554	0.0528322	0.0814088	0.0702247	0.0768386	0.0570506	0.040529	0.0373349	0.0391677	0.0287001	0.0284838	0.020567	0.0256281	0.0180134	0.0169225	0.0186514	0.0189601	0.0137283	0.0216845	0.0203846	0.017729	0.0268767	0.0253397	0.0264042	0.0236742	0.0205184	0.0186355	
Kelp Gull	0.1087278	0.1031477	0.1179568	0.1223729	0.1045155	0.0851064	0.0924267	0.0976037	0.0968586	0.095936	0.0858984	0.1028698	0.0911285	0.1131159	0.1114058	0.1084599	0.117	0.1101817	0.1265223	0.1491629	0.1803279	0.145686	0.1791939	0.1991917	0.1839888	0.1981339	0.1749193	0.1646758	0.139575	0.1407589	0.1412493	0.1104294	0.1389661	0.1135678	0.1121976	0.1035026	0.0793879	0.0772766	0.0816474	0.0989943	0.0842308	0.0734487	0.07924	0.0888726	0.0753721	0.0738636	0.0831533	0.0960202	
Larus sp.	7.396E-4	0.0	0.0	0.0	0.0	4.433E-4	0.0	0.0	0.0	6.662E-4	0.0	0.0	6.035E-4	6.94E-4	0.0	0.0015	0.0	2.884E-4	0.0	0.0	0.0	7.072E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12E-4	5.627E-4	0.0021911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.143E-4	0.0	0.0	0.0	0.0	0.0	4.735E-4	0.0	0.0	
gull sp.	0.0014793	0.0053269	0.0021064	0.0040678	0.0050736	0.0044326	0.0040717	0.0052601	0.0045812	0.0026649	0.0042949	0.0066225	0.007242	0.0027759	0.0026525	0.0027115	0.006	0.0057687	0.0121786	0.0096398	0.0081967	0.0134371	0.0141612	0.0138568	0.0133427	0.0076839	0.0059203	0.0076792	0.0051694	0.00612	0.0090039	0.0087642	5.559E-4	0.0035176	0.0025733	0.0031484	0.0052606	0.0057455	0.0054191	0.0034569	0.0042308	0.0029548	0.0046339	0.0044069	9.602E-4	0.0018939	0.0021598	0.0031586	
Black Skimmer	0.0310651	0.0377724	0.0300158	0.0359322	0.0243531	0.025266	0.0203583	0.025716	0.0340314	0.0486342	0.0250537	0.0322296	0.027761	0.0312283	0.0364721	0.0260304	0.0195	0.0201904	0.0155616	0.0248605	0.0143443	0.023338	0.0206972	0.0190531	0.0182584	0.0219539	0.017761	0.0170648	0.0109133	0.0116279	0.0146314	0.0135846	0.0155642	0.0090452	0.0200721	0.0121999	0.0153037	0.0229819	0.0122832	0.0229415	0.0303846	0.0291262	0.034291	0.0392949	0.0336054	0.03125	0.0340173	0.0337966	
Least Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.672E-4	0.0	4.735E-4	0.0	0.0	
Yellow-billed Tern	7.396E-4	0.001937	0.0042127	0.0023729	0.0030441	0.001773	4.072E-4	0.0011689	0.0019634	0.0053298	0.0028633	0.00883	0.0066385	0.0041638	0.0046419	0.0021692	0.006	0.0057687	0.0013532	0.0050736	0.0027322	7.072E-4	0.0076253	0.0051963	7.022E-4	5.488E-4	0.0010764	0.0025597	0.0011488	0.001836	0.002251	0.0013146	0.0022235	5.025E-4	0.0025733	0.0015742	0.0028694	0.0043091	7.225E-4	9.428E-4	0.0019231	8.442E-4	9.268E-4	0.0029379	0.0028805	0.0018939	0.0016199	0.0028427	
Large-billed Tern	0.0011095	0.0014528	0.002633	0.0013559	5.074E-4	0.0026596	0.0	0.0	6.545E-4	0.0019987	0.0028633	0.0039735	0.0018105	0.0027759	0.0046419	5.423E-4	0.003	0.002019	0.0015	0.0025368	0.0013661	0.0028289	0.001634	0.0017321	0.0014045	0.0010977	0.0032293	0.0012799	0.0011488	0.005508	0.0033765	0.0048203	0.0011117	0.0020101	0.0025733	0.0023613	9.565E-4	0.0037346	3.613E-4	6.285E-4	0.0015	0.0012664	0.002317	7.345E-4	0.0019203	0.0018939	0.0021598	0.0025268	
Gull-billed Tern	0.0044379	0.0082324	0.0179042	0.0159322	0.0126839	0.0070922	0.0089577	0.0046756	0.0065445	0.0073284	0.0028633	0.007947	0.014484	0.0083276	0.0125995	0.0092191	0.003	0.0077877	0.0101488	0.0081177	0.0054645	0.0120226	0.0076253	0.0103926	0.002809	0.0060373	0.0043057	0.0063993	0.0040207	0.004896	0.0039392	0.0065732	0.0027793	0.0035176	0.0087494	0.0031484	0.0105213	0.0068946	0.0028902	0.0069139	0.0065385	0.0063318	0.0060241	0.0040397	0.006241	0.0061553	0.0032397	0.0050537	
Snowy-crowned Tern	0.0676775	0.0687651	0.0731964	0.079661	0.0608828	0.0478723	0.0561889	0.0753945	0.0569372	0.0699534	0.0565497	0.0684327	0.0561255	0.0700902	0.0636605	0.0542299	0.054	0.0507643	0.0392422	0.0588534	0.0553279	0.0523338	0.0582789	0.0640878	0.0498596	0.0708013	0.0651238	0.0627133	0.0562895	0.0434517	0.0590884	0.0486415	0.0961645	0.0713568	0.0828616	0.0731995	0.0535629	0.0588911	0.0462428	0.071653	0.0680769	0.0641621	0.0653383	0.0774881	0.0566491	0.0587121	0.0550756	0.0647505	
Arctic Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.782E-4	5.745E-4	3.613E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
South American Tern	0.0055473	0.0029056	0.0068457	0.0077966	0.0045662	0.0044326	0.0028502	0.0081823	0.0045812	0.0099933	0.0107373	0.009713	0.009656	0.0117974	0.0106101	0.0065076	0.0085	0.008653	0.0054127	0.0182648	0.0286885	0.0183876	0.0206972	0.0300231	0.0210674	0.0378705	0.0317546	0.0209044	0.0333142	0.0214198	0.0225098	0.0192813	0.0628127	0.0437186	0.0494081	0.0515545	0.0229555	0.0249928	0.0307081	0.02577	0.0192308	0.0160405	0.0134384	0.0110173	0.0086414	0.014678	0.0086393	0.0069488	
Antarctic Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011547	0.0	5.488E-4	5.382E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Tern	0.0247781	0.0213075	0.0200105	0.0264407	0.0187722	0.0172872	0.0069218	0.0146113	0.0196335	0.0186542	0.0186113	0.012362	0.0138805	0.0083276	0.0066313	0.0027115	0.0035	0.0023075	0.0020298	0.0010147	6.831E-4	0.0015	0.0021786	5.774E-4	0.0014045	0.0016465	0.0016146	0.0029863	0.0	0.001836	0.002251	0.0017528	0.0038911	0.0050251	0.0082347	0.0051161	0.0076518	0.0123528	0.0122832	0.0188561	0.0203846	0.0189954	0.0268767	0.0297466	0.0264042	0.0250947	0.0194384	0.0271636	
Common/Arctic Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.559E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sterna sp.	0.0014793	4.843E-4	5.266E-4	0.0013559	5.074E-4	0.0022163	4.072E-4	5.845E-4	0.0013089	6.662E-4	0.0014316	0.0022075	0.0	6.94E-4	6.631E-4	5.423E-4	5.0E-4	0.0017306	0.0	0.0010147	6.831E-4	0.0014144	0.0027233	0.0011547	0.0	0.0027442	5.382E-4	0.0012799	0.0011488	0.001224	0.002251	0.0021911	0.0011117	0.001005	0.0	0.0011806	9.565E-4	0.0020109	0.0010838	0.0021999	0.0015385	0.0012664	9.268E-4	0.0018362	0.0	9.47E-4	5.4E-4	9.476E-4	
Sandwich Tern	0.0110947	0.0116223	0.0105319	0.0152542	0.0101471	0.008422	0.0109935	0.0169492	0.0183246	0.0166556	0.0121689	0.0145695	0.016898	0.0062457	0.0099469	0.005423	0.0055	0.0037496	0.0067659	0.0045662	0.0013661	0.0021216	0.001634	0.0034642	7.022E-4	0.0010977	5.382E-4	0.0012799	0.0011488	6.12E-4	5.627E-4	8.764E-4	0.0038911	0.0035176	0.006176	0.0098386	0.011956	0.0135019	0.0151734	0.0157134	0.0184615	0.0160405	0.0134384	0.0198311	0.0105617	0.0132576	0.0075594	0.0094757	
Royal Tern	0.0199704	0.0217918	0.0242233	0.0264407	0.0182648	0.0137411	0.0138436	0.0233781	0.0189791	0.0219853	0.0200429	0.01766	0.0211225	0.0256766	0.0159151	0.0195228	0.018	0.0175945	0.0135318	0.0208016	0.0102459	0.0254597	0.0212418	0.0207852	0.0133427	0.0148189	0.0231432	0.0136519	0.0068926	0.0104039	0.0090039	0.0105171	0.0183435	0.0130653	0.0200721	0.0181031	0.0143472	0.0149382	0.0144509	0.0153991	0.0184615	0.0113972	0.0157553	0.0190966	0.0120019	0.0118371	0.0161987	0.0180038	
large tern sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.143E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tern sp.	0.0018491	0.0024213	0.0036862	0.0010169	0.0015221	0.0044326	0.0020358	0.0011689	0.0019634	0.0033311	0.0021475	8.83E-4	0.001207	0.0	6.631E-4	0.0	0.001	0.0011537	6.766E-4	0.0025368	6.831E-4	0.0042433	0.003268	0.0051963	0.0035112	0.0016465	0.0021529	4.266E-4	5.744E-4	0.001836	0.0016882	0.0035057	5.559E-4	0.001005	0.0	0.0019677	0.0	0.0020109	0.0054191	0.0037712	0.0030769	0.0012664	0.0041705	3.672E-4	0.0019203	9.47E-4	0.0016199	0.0012634	
Chilean Flamingo	0.0417899	0.0401937	0.0352817	0.0467797	0.0395738	0.0407801	0.0280945	0.0397428	0.0425393	0.0399734	0.0415175	0.0445916	0.06035	0.0437196	0.0417772	0.0433839	0.047	0.056533	0.0290934	0.0400812	0.0362022	0.0452617	0.0522876	0.0490762	0.0470506	0.0603732	0.0613563	0.0622867	0.0333142	0.0342717	0.0433315	0.0385627	0.0389105	0.0386935	0.0344828	0.0271547	0.0368245	0.0453893	0.0249277	0.0443118	0.0476923	0.0409455	0.0305839	0.0444363	0.0403265	0.0331439	0.0275378	0.037271	
Andean Flamingo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.545E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0E-4	2.884E-4	0.0	5.074E-4	6.831E-4	0.0	0.0	0.0011547	0.0	0.0	5.382E-4	0.0	0.0	0.0	5.627E-4	4.382E-4	0.0	0.001005	5.147E-4	0.0	0.0	2.873E-4	0.0	0.0	0.0	4.221E-4	0.0	0.0015	0.0	0.0015	0.0	0.0	
flamingo sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.634E-4	0.0	0.0	0.0	0.0	0.0	
White-tufted Grebe	0.0824704	0.0745763	0.0716166	0.0762712	0.0872653	0.0660461	0.0561889	0.0946815	0.0778796	0.0579614	0.0680029	0.0587196	0.0766445	0.0624566	0.061008	0.0683297	0.0865	0.0648976	0.0798376	0.0547945	0.0744536	0.0820368	0.0980392	0.0877598	0.0905899	0.1070252	0.1071044	0.1186007	0.0827111	0.0764994	0.0911649	0.0815074	0.0956087	0.0884422	0.0844056	0.0798898	0.0808226	0.0812985	0.0726156	0.07511	0.0626923	0.0557197	0.0704356	0.0587587	0.0739318	0.077178	0.0734341	0.0824384	
Least Grebe	0.0	0.0	0.0	0.0	0.0	0.0	4.072E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	5.447E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.147E-4	0.0011806	9.565E-4	5.745E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pied-billed Grebe	0.0388314	0.02954	0.0352817	0.0318644	0.0334855	0.0239362	0.0232085	0.0315605	0.0281414	0.0259827	0.0221904	0.0203091	0.0211225	0.0270645	0.0285146	0.0244035	0.0385	0.0274012	0.0311231	0.0218163	0.0252732	0.0289958	0.0305011	0.0317552	0.0393258	0.0433589	0.0333692	0.0290102	0.0212522	0.0336597	0.0360158	0.0293602	0.0355753	0.0376884	0.0334534	0.0310901	0.0401722	0.0321747	0.0401012	0.0355123	0.0292308	0.0253271	0.0310473	0.0356225	0.0302448	0.03125	0.0340173	0.0366393	
Great Grebe	0.0465976	0.0319613	0.0363349	0.040339	0.0466768	0.0301418	0.0272801	0.0514319	0.0484293	0.0393071	0.051539	0.0445916	0.062764	0.0437196	0.0669761	0.0683297	0.083	0.0729738	0.0730717	0.0943683	0.114071	0.0990099	0.1247277	0.1270208	0.1320225	0.1416026	0.1270183	0.1331058	0.0970706	0.121787	0.113112	0.1007888	0.1306281	0.1251256	0.120947	0.0991736	0.0779531	0.0764148	0.0661127	0.0653677	0.0673077	0.053187	0.0569972	0.0554535	0.0427268	0.0487689	0.0410367	0.0524321	
Silvery Grebe	0.0033284	0.0024213	0.0010532	0.0044068	0.0081177	0.0053191	0.0032573	0.0029223	0.0117801	0.0053298	0.0064424	0.0066225	0.006035	0.0034698	0.0019894	0.0032538	0.0065	0.0069224	0.0033829	0.0015221	0.0047814	0.009901	0.0108932	0.0127021	0.0147472	0.0246981	0.0247578	0.0209044	0.0109133	0.0091799	0.0129432	0.0100789	0.0216787	0.0130653	0.0190427	0.0110193	0.0071736	0.0117782	0.0057803	0.0065996	0.0069231	0.0097087	0.0055607	0.0036724	0.0033605	0.0080492	0.0097192	0.0078964	
King Penguin	0.0	0.0	0.0	0.0	5.074E-4	0.0	0.0	0.0011689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010977	0.0	0.0	0.0	0.0	0.0	4.382E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Magellanic Penguin	0.0033284	4.843E-4	5.266E-4	0.0016949	5.074E-4	0.0035461	0.009772	0.0204559	0.0176702	0.0206529	0.0178955	0.01766	0.007242	0.0062457	0.0033156	0.0135575	0.0075	0.0115374	0.0142084	0.0172501	0.0293716	0.0113154	0.0152505	0.0277136	0.0182584	0.0268935	0.0182992	0.0136519	0.0201034	0.0110159	0.0112549	0.0052585	0.012229	0.0110553	0.0020587	0.0047226	0.0015	0.0025855	0.0115607	0.0122564	0.0019231	0.0029548	9.268E-4	0.0018362	9.602E-4	9.47E-4	0.0010799	0.002211	
Macaroni Penguin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.382E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Western Rockhopper Penguin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.766E-4	5.074E-4	0.0	0.0	5.447E-4	0.0015	7.022E-4	0.0	5.382E-4	0.0	0.0	0.0	0.0	8.764E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Royal Albatross	0.0014793	0.0	0.0	0.0015	5.074E-4	0.0	0.0	0.0011689	0.0	0.0	0.0	0.0	0.0018105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.022E-4	0.0010977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010838	6.285E-4	0.0015	0.0	4.634E-4	0.0	0.0	0.0037879	5.4E-4	0.0	
Southern Royal Albatross	0.0036982	0.0	0.0015	0.0010169	0.0015221	0.0	0.0	5.845E-4	0.0013089	0.0	0.0	4.415E-4	0.002414	0.0	0.0	0.0015	0.0	0.0	0.0	5.074E-4	0.0034153	0.0	0.0015	0.0	0.0021067	0.0021954	0.0026911	0.0	0.0017231	0.0	0.0033765	0.0	0.0	0.0	0.0	0.0011806	0.0015	2.873E-4	0.0010838	0.0025141	0.0	4.221E-4	4.634E-4	0.001469	9.602E-4	0.0018939	0.0	0.0015793	
Northern/Southern Royal Albatross	3.698E-4	0.0	5.266E-4	0.0	0.0	0.0	0.0	0.0	6.545E-4	6.662E-4	7.158E-4	4.415E-4	0.0018105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020492	7.072E-4	0.0	5.774E-4	7.022E-4	5.488E-4	5.382E-4	4.266E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.782E-4	0.0	0.0010838	0.0028284	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0016199	0.0	
Snowy Albatross	0.0015	0.0014528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.415E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.873E-4	0.0	6.285E-4	0.0	0.0	9.268E-4	0.0	0.0	0.0	0.0	0.0	
Tristan Albatross	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snowy/Tristan Albatross	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.545E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018939	0.0	0.0	
Snowy/Tristan/Antipodean Albatross	3.698E-4	0.0	0.0015	0.0	0.0	0.0	0.0	5.845E-4	6.545E-4	0.0	7.158E-4	0.001766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.074E-4	0.0	0.0	0.0	5.774E-4	0.0	0.0	0.0	4.266E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	6.285E-4	3.846E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
large albatross sp.	3.698E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.158E-4	4.415E-4	6.035E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sooty Albatross	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.545E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
