









Frequency of observations in the selected location(s).:
Number of taxa: 	645

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Black-bellied Whistling-Duck	0.0022189	4.843E-4	0.0021064	6.78E-4	0.0	0.0013298	0.0015	0.0011689	6.545E-4	0.0	0.0014316	0.0013245	0.0	0.0	0.0	0.0015	0.0	5.769E-4	0.0	0.0	0.0	7.072E-4	5.447E-4	0.0	7.022E-4	0.0010977	5.382E-4	0.0	0.0	0.001224	0.002251	4.382E-4	0.0011117	0.0045226	0.001544	7.871E-4	0.0028694	0.00316	0.0010838	0.0015713	0.0030769	0.0042212	0.0041705	0.0062431	0.0048008	0.0018939	0.0043197	0.0031586	
Fulvous Whistling-Duck	0.0151627	0.0135593	0.011585	0.0122034	0.0167428	0.0128546	0.0085505	0.0070134	0.007199	0.0046636	0.0121689	0.011479	0.009656	0.0048577	0.0059682	0.0043384	0.0055	0.0063455	0.0081191	0.0055809	0.0034153	0.0120226	0.0070806	0.0057737	0.0049157	0.0120746	0.0113025	0.0110922	0.0137852	0.0110159	0.0157569	0.0175285	0.0272374	0.0301508	0.0180134	0.0200708	0.0301291	0.0321747	0.0238439	0.0260842	0.0238462	0.0363022	0.0194625	0.0275432	0.0240038	0.0175189	0.0161987	0.0249526	
Graylag Goose	0.0099852	0.0106538	0.0084255	0.0084746	0.0096398	0.0115248	0.0081433	0.006429	0.0085079	0.0086609	0.0085898	0.0083885	0.0090525	0.0097155	0.0099469	0.0113883	0.021	0.0077877	0.0155616	0.0106545	0.0136612	0.0134371	0.0125272	0.0132794	0.0091292	0.0109769	0.0172228	0.0145051	0.0068926	0.0134639	0.0090039	0.0096407	0.0133407	0.0110553	0.009264	0.0094451	0.0124342	0.0091928	0.0075867	0.0091138	0.0103846	0.0059097	0.0055607	0.0051414	0.0100816	0.0099432	0.0102592	0.0126342	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.035E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.488E-4	0.0	4.266E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.735E-4	0.0	0.0	
Anser sp.	0.0	0.0	0.0	3.39E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.801E-4	0.0	0.0	0.0	
Black-necked Swan	0.0632396	0.0590799	0.0516061	0.0532203	0.0634196	0.0518617	0.0435668	0.0543542	0.0484293	0.0366422	0.0393701	0.0490066	0.059143	0.03678	0.0470822	0.0363341	0.0645	0.0423998	0.041272	0.0400812	0.0443989	0.04314	0.0441176	0.0323326	0.0470506	0.0521405	0.0435953	0.0435154	0.0327398	0.0305998	0.0461452	0.0328659	0.0344636	0.0442211	0.0401441	0.0334514	0.0454328	0.0453893	0.0469653	0.0455688	0.0423077	0.0451667	0.0551437	0.0554535	0.0600096	0.0501894	0.0545356	0.0524321	
Coscoroba Swan	0.0732249	0.072155	0.0842549	0.0823729	0.0811771	0.0695922	0.0663681	0.0730567	0.0778796	0.0566289	0.0565497	0.0604857	0.092939	0.055517	0.0696286	0.0607375	0.0805	0.0723969	0.0487145	0.049721	0.0601093	0.0622348	0.0833333	0.0721709	0.054073	0.0856202	0.0818084	0.084471	0.0562895	0.0416157	0.0720315	0.0486415	0.0461367	0.0628141	0.0617602	0.051161	0.0588235	0.0700948	0.0588873	0.062225	0.0546154	0.0616294	0.0667285	0.0705105	0.0681709	0.0606061	0.075054	0.067909	
Comb Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	2.873E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4E-4	6.317E-4	
Upland Goose	7.396E-4	0.0	0.0	0.0	0.0	0.0	4.072E-4	0.0011689	6.545E-4	0.0	0.0	0.0	0.0015	0.0034698	0.0019894	0.005423	0.0065	0.0167292	0.0094723	0.0086251	0.0102459	0.0219236	0.0228758	0.01097	0.0210674	0.0208562	0.0145318	0.0132253	0.0051694	0.004896	0.0056275	0.0017528	5.559E-4	5.025E-4	0.0	0.0	4.782E-4	2.873E-4	3.613E-4	3.143E-4	3.846E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ashy-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034698	0.0013263	0.0027115	0.0085	0.0121142	0.0087957	0.0065956	0.0075137	0.0169731	0.0174292	0.0098152	0.0203652	0.0197585	0.0166846	0.0115188	0.0045951	0.002448	0.006753	4.382E-4	5.559E-4	5.025E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0040381	0.0013532	0.0035515	0.0020492	0.0063649	0.0125272	0.0034642	0.0070225	0.0098793	0.010226	0.0068259	0.0022975	0.002448	0.0039392	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chloephaga sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.631E-4	5.423E-4	0.0015	2.884E-4	0.0015	0.0020294	0.0	0.0021216	0.0010893	0.0023095	0.0015	0.0010977	0.0016146	0.0015	0.0	0.0015	5.627E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Flying Steamer-Duck	0.0	0.0	0.0	0.0	0.0	0.0	4.072E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013146	5.559E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.672E-4	0.0	0.0	0.0	0.0	
Crested Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	5.423E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.692E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck	0.004068	0.0033898	0.0031596	0.0013559	0.0020294	0.0035461	0.002443	5.845E-4	0.0013089	0.0019987	0.0035791	0.002649	0.001207	0.0020819	0.0033156	0.0021692	0.003	0.002019	0.0013532	0.0025368	0.0027322	0.0056577	0.0021786	0.0023095	0.0035112	0.0043908	0.0069968	0.0042662	0.0051694	0.004284	0.0039392	0.006135	0.0077821	0.0055276	0.0056613	0.0055096	0.0038259	0.0051709	0.003974	0.004714	0.0042308	0.0021106	0.0041705	0.0040397	0.0048008	0.0028409	0.0053996	0.0034744	
Ringed Teal	0.0539941	0.0460048	0.0516061	0.0430508	0.0608828	0.0398936	0.0374593	0.0414962	0.0412304	0.0259827	0.0386543	0.0432671	0.033796	0.0263706	0.0324934	0.0260304	0.0295	0.0346121	0.02977	0.0268899	0.0355191	0.019802	0.040305	0.0375289	0.0273876	0.0400659	0.0484392	0.0456485	0.0407812	0.0342717	0.0545864	0.0486415	0.0561423	0.0748744	0.0705095	0.051161	0.0626495	0.0801494	0.0617775	0.0496543	0.0542308	0.0443225	0.0658017	0.0613294	0.0528084	0.045928	0.0485961	0.0495894	
Brazilian Teal	0.0539941	0.0479419	0.04792	0.0420339	0.0532725	0.0412234	0.0386808	0.0391584	0.0425393	0.0273151	0.0386543	0.0423841	0.0416415	0.0388619	0.0550398	0.0460954	0.0485	0.0516297	0.0581867	0.037037	0.0491803	0.0466761	0.0642702	0.062933	0.0526685	0.0609221	0.0586652	0.0644198	0.0591614	0.0569155	0.077659	0.063979	0.0622568	0.0683417	0.0689655	0.0755608	0.0698231	0.0853203	0.070448	0.0553111	0.0576923	0.0481216	0.0593142	0.0536173	0.0552088	0.0464015	0.0464363	0.0555907	
Silver Teal	0.1031805	0.1031477	0.0832017	0.0922034	0.0963978	0.0713652	0.0610749	0.0783168	0.0752618	0.0579614	0.0601288	0.0573951	0.06035	0.0451076	0.0596817	0.052603	0.0745	0.0637439	0.0548038	0.0527651	0.0628415	0.053041	0.0866013	0.0600462	0.0786517	0.1097695	0.1087191	0.1023891	0.0959219	0.0820073	0.115363	0.1016652	0.1289605	0.1276382	0.1096243	0.1035026	0.1162123	0.1330078	0.1000723	0.102137	0.0846154	0.1000422	0.0977757	0.0899743	0.0888142	0.0838068	0.1025918	0.1111813	
Cinnamon Teal	0.0218195	0.0145278	0.0194839	0.0186441	0.021309	0.0150709	0.0134365	0.0227937	0.0235602	0.0093271	0.0114531	0.0163355	0.0175015	0.0069396	0.0086207	0.0151844	0.0165	0.017306	0.0101488	0.0086251	0.0095628	0.0120226	0.0174292	0.0184758	0.0182584	0.0246981	0.0274489	0.0187713	0.0172315	0.0152999	0.0202589	0.020596	0.0300167	0.0311558	0.0334534	0.0342385	0.0420851	0.0433783	0.0375723	0.0411691	0.0257692	0.0329253	0.0324374	0.0319501	0.0278445	0.0222538	0.0237581	0.0161087	
